accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2022010352698,2022,010352698,535679,193981,-0.041189,51.628294,1,3,2,1,03/01/2022,2,07:30,-1,E09000010,E09000010,3,1055,6,40,3,2,3,1055,0,5,1,1,1,0,0,1,1,2,E01001483
2022010352699,2022,010352699,508161,191826,-0.439238,51.614882,1,3,2,2,03/01/2022,2,07:58,-1,E09000017,E09000017,3,404,6,30,6,2,3,4180,0,4,1,1,2,0,0,1,1,2,E01002475
2022010352700,2022,010352700,528906,192015,-0.139707,51.612217,1,3,3,2,03/01/2022,2,04:40,-1,E09000010,E09000010,3,109,3,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01001528
2022010352701,2022,010352701,548185,177708,0.132511,51.478927,1,3,5,1,03/01/2022,2,09:11,-1,E09000004,E09000004,6,0,6,30,0,-1,0,-1,0,0,1,1,1,0,0,1,1,2,E01000421
2022010352702,2022,010352702,532532,194267,-0.086519,51.631613,1,3,2,1,03/01/2022,2,10:20,-1,E09000010,E09000010,6,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,2,E01001404
2022010352703,2022,010352703,520414,178509,-0.266907,51.492714,1,3,2,1,02/01/2022,1,10:50,-1,E09000018,E09000018,4,490,1,30,7,2,3,315,0,4,1,2,2,0,0,1,1,2,E01032573
2022010352705,2022,010352705,511184,177456,-0.400132,51.485138,1,2,1,1,03/01/2022,2,07:15,-1,E09000018,E09000018,5,0,6,20,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01002633
2022010352706,2022,010352706,512745,172118,-0.379361,51.436852,1,3,2,1,03/01/2022,2,13:00,-1,E09000018,E09000018,3,312,1,30,1,4,3,316,0,0,1,1,1,0,0,1,1,2,E01002605
2022010352708,2022,010352708,539460,187373,0.010777,51.567992,1,3,2,1,03/01/2022,2,13:40,-1,E09000031,E09000031,3,11,6,20,3,4,6,0,0,4,1,1,1,0,0,1,1,2,E01004438
2022010352709,2022,010352709,531124,164235,-0.118,51.362058,1,3,3,1,03/01/2022,2,15:32,-1,E09000008,E09000008,3,23,3,40,9,4,6,0,0,0,4,1,1,0,0,1,1,2,E01001172
2022010352710,2022,010352710,524423,171078,-0.211801,51.425064,1,2,1,1,03/01/2022,2,14:00,-1,E09000024,E09000024,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01003402
2022010352711,2022,010352711,532806,166215,-0.093116,51.379461,1,3,3,2,03/01/2022,2,16:46,-1,E09000008,E09000008,6,0,6,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01001048
2022010352713,2022,010352713,535306,183262,-0.050701,51.532061,1,3,2,1,03/01/2022,2,17:09,-1,E09000030,E09000030,6,0,2,20,9,4,6,0,0,0,1,9,1,0,0,1,1,2,E01004201
2022010352714,2022,010352714,524770,176780,-0.204804,51.476232,1,3,1,1,03/01/2022,2,17:20,-1,E09000013,E09000013,3,304,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,2,E01001948
2022010352715,2022,010352715,529448,180599,-0.136083,51.509502,1,3,1,1,03/01/2022,2,16:30,-1,E09000033,E09000033,3,4,3,20,9,4,6,0,0,5,4,1,1,0,0,1,1,2,E01033595
2022010352717,2022,010352717,538593,184041,-0.003036,51.538265,1,3,2,1,03/01/2022,2,16:02,-1,E09000025,E09000025,6,0,6,20,9,4,6,0,0,0,1,1,1,0,0,1,1,2,E01033583
2022010352720,2022,010352720,531418,164930,-0.113523,51.368236,1,3,3,2,03/01/2022,2,19:09,-1,E09000008,E09000008,3,232,3,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01001167
2022010352722,2022,010352722,535804,173275,-0.047363,51.442196,1,3,1,1,03/01/2022,2,14:06,-1,E09000023,E09000023,3,205,6,30,9,4,3,205,0,0,1,1,1,0,0,1,1,2,E01003315
2022010352723,2022,010352723,538041,182382,-0.01164,51.523492,1,3,2,1,03/01/2022,2,21:00,-1,E09000030,E09000030,4,140,6,20,2,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004238
2022010352724,2022,010352724,534415,178793,-0.06524,51.492114,1,2,2,1,03/01/2022,2,19:47,-1,E09000028,E09000028,5,0,6,20,3,2,3,2206,0,5,4,1,1,0,0,1,1,2,E01004043
